Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
56548,5,7,3,37585,858686
65950,5,7,3,40111,1200962
74533,7,6,4,49482,1520234
66423,7,7,6,31019,1360908
74334,5,6,4,41640,1360921
63538,5,7,3,43282,1146532
83953,7,7,3,37283,1789099
57279,5,7,3,44024,852099
56554,6,7,3,29682,746097
75796,6,7,6,33198,1534480
70849,5,7,3,40459,1215609
59787,6,7,3,32402,941594
64826,4,8,4,60286,1204598
65926,8,7,3,34171,1597655
64419,7,9,6,39318,1492011
58544,9,7,4,30866,1421217
68792,5,7,4,48423,1132523
82062,4,6,4,36271,1102821
80660,5,7,6,52947,1856211
66668,6,8,3,47075,1687999
64722,6,7,4,36116,1063423
65200,6,7,3,28366,1177290
74580,5,6,3,42806,1173474
76274,8,5,3,46975,1637260
67562,5,8,4,35518,1238938
48905,5,5,3,32961,201898
72146,6,8,6,28883,1439506
70806,4,6,3,29269,585609
65383,8,7,3,35114,1294685
95450,7,7,3,39389,2014851
73699,6,7,4,51815,1840236
66264,6,7,4,49830,1441422
75395,7,8,4,22268,1498641
65985,7,6,2,21867,954747
66477,7,6,2,32459,1124636
69284,5,7,3,40283,1169944
70404,6,6,2,37128,1114431
74218,8,7,4,46771,1783535
63442,6,7,3,48062,1302933
57494,7,7,4,47039,1241484
81544,6,6,2,9816,954115
78634,5,8,3,43729,1555321
52203,5,4,2,42166,404976
67980,6,6,2,25909,1073184
78568,5,6,2,41017,1422196
55473,5,6,3,15354,340605
67579,6,8,6,21763,1170960
61456,7,6,4,30821,942838
60815,7,8,4,31234,1401614
51217,5,9,3,47089,1175504
63028,5,6,2,35992,608794
62485,6,7,5,26883,946943
73923,7,7,6,58745,1819901
79738,7,7,2,28307,1463130
63890,5,8,5,43416,1252391
67310,7,8,5,43311,1714445
73146,4,7,3,49463,1291759
86924,7,8,6,28719,1809154
74384,7,5,2,17117,1200539
67478,7,8,5,29764,1300265
71203,4,7,4,34207,997449
85845,7,9,3,46478,2152959
72139,7,8,5,35800,1629984
44806,4,5,3,57391,497579
67504,5,6,4,37441,890113
74706,5,6,2,39681,1064686
68898,7,8,6,39516,1530124
58118,8,6,4,35598,1246247
77643,6,5,4,35512,1240755
67770,8,7,4,33255,1760735
74411,6,7,6,43538,1393747
73101,4,9,4,29498,1172386
58708,5,6,4,15970,483986
63876,7,7,3,38053,1388530
68343,6,8,6,40654,1721739
73065,6,7,6,30699,1276449
67367,7,7,2,32547,1161743
66547,6,5,2,16742,786408
73314,6,8,4,37809,1604921
47681,7,8,5,50909,1230149
67911,6,7,4,31380,1051645
69278,6,8,5,43718,1415074
67947,5,6,3,35198,1043484
90975,5,8,6,44426,1544380
61886,5,7,3,48727,1352136
69402,7,8,3,29293,1505727
72969,6,8,4,31756,1416966
75582,6,7,4,31946,1046722
56241,6,7,2,32745,939040
79413,6,7,3,17569,1383031
79618,5,7,3,29637,1072503
67019,6,7,6,24997,1134398
56063,5,5,4,39129,734828
57078,6,7,4,33394,991892
75955,4,7,5,34468,1057253
52576,7,7,4,41829,1237225
63313,6,8,4,43230,1442633
82527,6,8,4,43948,1877402
73205,7,7,6,35091,1394518
56357,6,5,3,38062,953939
71317,7,7,5,21652,1219778
75047,5,9,3,32468,1287325
84474,7,6,2,38678,1739894
68163,7,7,3,31844,1213382
62784,8,5,3,35122,1007479
67010,7,8,3,39737,1528756
67437,7,7,2,29356,1182460
65968,7,8,3,35800,1474547
42816,8,7,4,47458,1078017
83348,5,5,3,48227,1453382
81700,5,6,4,39527,1495013
56144,5,7,4,45084,714148
59514,5,6,3,44162,894292
78379,6,6,3,31357,1159842
70877,7,7,5,36033,1195986
61527,7,9,6,27308,1381431
65317,7,7,2,55799,1534890
76269,7,6,3,38650,1494125
48531,7,9,5,39731,1356146
82907,6,6,4,38820,1454943
63118,5,6,2,43092,774118
75861,4,5,3,41004,889113
68845,5,7,3,48392,1211102
52446,6,7,3,32935,658646
69343,6,8,3,37082,1400105
55932,7,6,4,42488,1262018
53307,5,6,2,39063,553077
56977,6,7,3,46376,1203248
51296,6,8,6,32079,1115323
63995,8,7,5,24748,1301881
71915,6,6,4,27714,1006687
62138,5,7,5,19046,749383
78051,5,6,4,27790,1075597
67371,5,7,4,24798,739871
59363,7,8,3,44723,1442945
57003,7,6,3,29595,828497
68989,6,8,6,32630,1373291
70970,5,6,3,24834,925566
82252,8,8,6,18409,1552537
71306,6,7,2,43284,1335905
70922,6,6,3,29390,960808
70739,7,7,6,35149,1405933
58098,6,6,3,19903,619088
51274,7,7,2,53812,1329273
76327,5,5,3,42780,1261844
63584,6,6,4,46340,1175781
86340,5,6,3,35631,1437054
79471,6,8,6,36616,1594415
55880,6,5,2,37360,931358
40504,7,7,3,45979,798640
83394,6,6,2,30488,1451740
64501,6,7,5,43869,1278992
59570,6,7,4,31295,885921
69280,7,7,4,40291,1425633
66342,6,7,3,11793,901882
73367,6,9,5,23685,1521731
57122,6,6,2,41973,716771
61979,8,8,5,56957,1696717
54300,7,7,2,39513,819598
71424,6,9,3,37243,1584214
57353,8,6,4,16906,798893
44731,4,9,5,39633,601973
76175,5,10,4,30761,1456486
66575,6,7,2,69575,1702406
91731,5,8,6,33102,1566471
75487,6,8,4,41105,1592210
58088,6,6,4,51925,937628
76319,7,6,3,48026,1558548
60575,6,7,2,32159,1156329
69607,7,8,3,34609,1514350
67057,5,7,5,25135,1039107
60641,5,5,2,43120,809090
69032,6,6,3,15660,675536
80356,5,10,5,16215,1373590
60081,7,8,4,60196,1690091
61881,7,7,5,35597,1253370
59591,7,6,2,24154,774074
89831,5,8,6,45335,1741960
72175,7,7,2,50306,1705763
67589,6,6,2,33203,1071110
77300,5,7,4,29499,1118048
65383,5,8,6,41723,1165253
71145,6,7,2,35643,1280910
61053,6,6,2,40676,841123
65126,6,7,4,37643,1228811
51949,6,8,5,35336,1086072
75898,5,7,3,34163,1204372
71468,6,6,3,43269,1345004
53288,6,7,3,45152,1116902
61503,5,7,3,37651,822432
68896,6,8,4,28395,1360624
91159,7,7,3,54861,2298379
63375,7,8,3,45633,1400498
59696,5,6,2,20703,566849
63184,6,8,5,58691,1367586
61178,7,7,5,26396,1113374
58642,5,6,3,35132,721975
53112,5,6,4,40367,685504
40367,5,8,5,16349,152072
62207,7,7,5,34318,1280432
57478,5,7,6,23650,568703
55630,6,9,6,38943,1200765
72399,7,8,6,41662,1607162
89869,5,7,5,30102,1421715
59801,4,5,2,33535,311111
61957,8,7,4,38448,1338044
71123,7,6,3,44020,1417871
55203,4,8,3,28425,796389
79298,7,5,3,15753,1310207
65071,7,6,4,24853,994898
68495,7,7,5,13999,1202988
55702,6,6,3,40088,768752
57234,8,6,2,37375,1211655
85314,6,7,4,23974,1540418
60225,5,5,3,42183,712228
73874,7,7,3,33336,1525533
63149,7,6,2,37579,1034218
58594,5,6,2,39288,874104
73840,6,8,4,47603,1912825
75985,7,8,4,42249,1754771
82145,7,7,4,25736,1340067
69017,6,6,3,55831,1446757
75429,7,8,5,36769,1592768
69514,4,8,6,14054,660365
57782,5,6,2,33427,861322
74372,7,8,6,34322,1648247
63522,6,7,2,31996,977136
61194,8,9,3,33196,1591934
60317,4,6,4,33832,695386
58470,5,5,2,33548,568977
75180,5,7,5,23978,935591
56187,4,9,5,41856,984312
73225,6,7,2,61831,1796246
74339,5,5,4,18057,720080
52188,6,6,4,42496,783808
83311,7,8,3,30386,1598616
72289,7,8,5,39147,1564125
54866,7,7,3,35193,929481
85760,5,9,6,25898,1414495
59453,6,7,6,29698,837668
69879,7,6,4,26814,1197515
59243,7,7,4,51405,1232005
57853,7,7,4,47688,1285933
66643,6,8,4,30971,1361522
69248,6,6,2,35990,1090826
75130,6,7,3,41620,1475320
76210,7,5,4,22722,1066659
69342,6,8,3,21642,1117433
77631,7,7,2,31740,1420284
68929,8,7,3,173,840273
70991,6,5,2,30904,1024908
55861,8,9,5,40335,1494241
56381,6,7,4,43994,1125880
64306,5,8,4,30762,1082455
76548,7,7,3,40565,1554635
57102,5,8,6,41104,1011365
76193,7,7,6,21246,1432757
79586,6,8,4,31773,1612718
70760,6,5,4,25982,973300
76907,5,6,4,21658,679229
64745,6,8,6,28880,1271000
51976,5,7,4,36360,910211
61253,5,7,4,40890,1026272
58841,8,7,4,39555,1496730
79113,6,8,5,33772,1490539
76056,6,8,5,28471,1491838
52400,7,9,3,18092,996771
77552,6,5,2,35834,1064854
64161,6,7,4,32339,985750
71167,7,9,4,35175,1952622
84964,7,6,3,40447,1754969
59713,6,7,3,42602,1122240
77734,6,6,3,32075,1236932
85707,4,6,4,10424,966084
70280,5,5,4,39663,852269
69331,7,6,2,30098,1280670
72989,6,6,3,50567,1190214
65698,6,7,4,28742,1123851
76245,8,8,3,32016,1689120
53547,7,8,3,45504,1573348
73643,7,8,3,43152,1696978
84774,7,5,2,32384,1414287
58141,5,7,2,49338,755292
61881,6,6,2,21397,714706
75312,5,7,4,9488,944002
81329,6,7,3,31232,1523136
77931,7,7,3,23183,1422917
84603,7,7,6,39683,1945619
72445,5,7,2,69554,1726719
57497,7,8,5,43204,1051124
87266,8,7,5,45161,2249123
62432,7,9,4,44116,1523915
72107,5,7,3,29981,1039518
55577,7,7,3,19560,818058
62328,5,7,4,43364,1115467
73931,6,7,2,29569,1258179
63429,6,8,3,37999,1435424
73424,6,6,3,34712,1153470
75176,9,5,2,22367,1425603
56636,6,8,4,28139,1048351
67666,6,6,3,24758,1214482
65987,5,7,2,24057,821859
54274,6,7,4,24233,753652
75548,4,7,6,40043,1220001
70151,7,8,5,15255,1075675
74449,6,7,3,24838,1396082
66920,8,7,6,18868,1137802
68474,6,6,2,43147,1159954
76113,6,8,5,26482,1487850
61212,6,6,4,32046,1103072
59769,6,7,3,26203,897291
78848,6,7,3,20654,1214321
75735,6,8,5,37268,1364363
77847,5,7,3,30232,1249093
56231,5,5,2,52657,946479
89163,5,6,2,44016,1659805
62377,6,7,4,39076,1285400
68864,6,5,4,29802,898282
82441,6,7,5,27546,1483848
60949,7,6,2,39754,1353488
69730,6,7,5,31720,1268704
75492,6,7,6,26014,1448574
80648,6,6,3,35092,1343606
84037,8,6,4,32767,1511538
76590,6,8,3,40643,1662039
63534,6,8,3,38129,1166673
67270,6,7,6,41780,1375633
50887,4,7,4,47731,839638
80597,6,8,3,34488,1638265
66041,6,8,5,40164,1385400
81316,4,7,3,35590,1153233
67877,5,8,5,43301,1370178
69307,6,7,2,36851,1181877
61201,5,6,4,42790,894251
70619,6,8,5,37866,1421136
69911,6,6,4,38441,1028964
64889,4,8,3,25905,923508
69900,6,8,6,32679,1599634
79045,6,8,5,24722,1369186
76460,7,7,4,46851,1748783
58308,6,8,4,25509,1150878
56679,5,9,5,40785,1110599
58823,6,7,4,38683,1159207
80836,6,7,3,49864,1811377
67710,6,8,4,25222,1267443
70028,7,5,3,40513,1352548
36100,6,5,2,44902,599504
67217,5,6,4,24000,717213
63657,6,6,3,36392,1008713
71468,5,5,3,36378,1071596
62990,7,7,4,36913,1397342
69327,6,7,6,31055,1313305
94902,6,8,3,41662,2106511
79579,5,7,3,31756,1306459
73756,5,6,3,59485,1354929
65874,7,9,4,39786,1582766
52934,6,6,3,46521,847155
82831,6,7,4,32027,1342246
73931,5,8,4,42702,1363087
58557,5,7,6,54167,1275319
51718,8,7,3,49639,1285924
69808,7,7,3,51453,1789608
79628,5,6,2,31639,1196064
97112,6,6,3,51470,1917584
74354,7,6,4,30091,1370274
72481,6,8,3,45160,1677204
73093,6,6,2,41796,1439714
51993,7,7,3,21760,1012263
66484,5,9,3,51712,1511743
81182,5,7,4,34141,1131155
79104,4,7,4,25768,764860
75070,7,6,2,44683,1681316
44689,5,6,3,25121,291724
73726,4,7,3,28667,1013252
64039,4,8,4,54131,1194710
69897,6,8,4,38181,1463003
73723,7,9,6,24723,1453328
79997,6,7,3,28068,1291506
61539,7,7,6,51154,1625508
47065,6,7,5,24126,566896
82382,5,8,4,36655,1468513
80857,5,9,3,44385,1573106
60894,4,8,5,49077,968361
66356,7,7,3,38023,1309986
78438,7,5,4,35220,1361219
61216,7,9,6,36495,1465120
64908,7,8,5,46677,1571465
80009,5,9,5,45890,1629098
71356,5,7,5,36998,1182336
72433,6,6,3,35039,1010814
67284,5,6,3,24943,924729
62653,7,8,3,41468,1382110
63969,6,9,3,27405,1366728
74234,6,7,4,32876,1297850
59729,8,7,6,31202,1196688
81132,6,7,4,32312,1281113
68501,6,7,5,51747,1530730
55050,7,7,6,29424,1208665
76840,6,7,5,29860,1417276
63429,5,7,6,42997,1195602
90592,8,10,5,37224,2469066
56685,7,8,3,43322,1223101
69231,6,5,2,43072,1220277
68917,7,6,3,42745,1311765
60509,7,9,6,28410,1198314
85719,5,6,3,32058,1187609
62134,7,7,2,32157,1399663
73435,6,9,4,36240,1597777
55613,8,7,4,42259,1355022
70880,7,8,5,22432,1137059
67461,5,8,3,34573,1053815
84440,4,8,4,19835,1242422
67802,6,8,3,36130,1222041
62685,6,7,2,42019,1025461
71392,4,8,4,36010,859428
59051,6,7,5,37741,1279804
87896,8,6,4,23876,1671669
70276,7,7,3,26630,1525602
72640,4,8,4,31471,998774
62894,7,7,4,20317,1012322
50846,5,8,3,45357,1252419
78688,6,7,6,47812,1869313
76397,8,7,3,45281,1800686
62163,6,7,6,47747,1393100
75091,6,6,4,39457,1166558
61801,5,7,5,36327,988175
77430,7,7,4,30108,1540481
74389,4,6,3,33763,866142
62567,5,6,2,29366,557362
68895,6,7,4,28852,1033291
68738,4,6,3,47445,1084945
74278,7,3,3,50234,1365081
81281,6,5,4,34933,1239460
86305,8,7,4,37854,2056693
